epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.01,0.6734,1.98683,0.99016,0.92292,0.77878,0.94098,0.75886,0.67185,2.34143,0.941,0.00043342,0.00043342,0.00043342
2,262.536,0.72503,1.2538,0.98702,0.89923,0.79806,0.88489,0.65697,0.87367,2.14449,1.06313,0.000866017,0.000866017,0.000866017
3,378.78,0.80042,1.20762,1.04569,1,0.39156,0.81584,0.6027,0.95368,2.66078,1.17489,0.00128079,0.00128079,0.00128079
4,493.855,0.79901,1.15447,1.04138,0.84677,0.82927,0.91834,0.67406,0.88561,1.81262,1.09871,0.00156798,0.00156798,0.00156798
5,607.878,0.79235,1.05272,1.01994,0.87389,0.82927,0.9243,0.69855,0.8549,1.29728,1.07329,0.00153497,0.00153497,0.00153497
6,722.949,0.77003,0.97035,1.01691,0.90942,0.81301,0.92187,0.68929,0.837,1.32101,1.11459,0.00150197,0.00150197,0.00150197
7,837.33,0.76967,0.88911,1.0148,0.82149,0.94309,0.93289,0.6803,0.87487,1.20713,1.07777,0.00146896,0.00146896,0.00146896
8,952.344,0.74653,0.85121,1.01385,0.90681,0.91057,0.94106,0.70563,0.83602,1.06708,1.08176,0.00143595,0.00143595,0.00143595
9,1068.1,0.67747,0.74239,0.96995,0.933,0.93496,0.97054,0.74821,0.76593,0.92852,1.04309,0.00140295,0.00140295,0.00140295
10,1181.89,0.67057,0.71441,0.96974,0.95961,0.96589,0.97081,0.79185,0.70047,0.73689,0.99354,0.00136994,0.00136994,0.00136994
11,1298.47,0.6721,0.66693,0.96968,0.98373,0.98342,0.98655,0.80589,0.69016,0.62304,0.9657,0.00133693,0.00133693,0.00133693
12,1412.85,0.69402,0.65846,0.97955,0.98881,0.98374,0.98605,0.80242,0.69842,0.63027,0.98645,0.00130393,0.00130393,0.00130393
13,1526.41,0.68286,0.63854,0.97695,0.98225,0.98374,0.9877,0.79342,0.69865,0.60417,0.96953,0.00127092,0.00127092,0.00127092
14,1640.89,0.66431,0.60159,0.96256,0.96886,0.9187,0.978,0.79273,0.69017,0.64196,0.97983,0.00123791,0.00123791,0.00123791
15,1754.16,0.68024,0.60626,0.98388,0.99174,0.97561,0.9925,0.82043,0.66278,0.55822,0.96532,0.00120491,0.00120491,0.00120491
16,1869.65,0.63686,0.55709,0.95789,0.99846,0.98374,0.99019,0.82529,0.6605,0.49264,0.98138,0.0011719,0.0011719,0.0011719
17,1983.29,0.64315,0.56452,0.97142,0.98121,0.97561,0.9839,0.7853,0.72616,0.58328,0.99387,0.00113889,0.00113889,0.00113889
18,2096.25,0.66193,0.54211,0.96418,0.98363,0.97728,0.98427,0.79533,0.66482,0.48839,0.95142,0.00110589,0.00110589,0.00110589
19,2209.86,0.61172,0.50015,0.95257,0.99172,0.97392,0.98531,0.81374,0.64192,0.4752,0.93504,0.00107288,0.00107288,0.00107288
20,2323.04,0.6132,0.51228,0.94457,1,0.96718,0.98855,0.80859,0.63126,0.45764,0.96195,0.00103987,0.00103987,0.00103987
21,2436.32,0.57521,0.49005,0.9336,1,0.97345,0.98502,0.81808,0.62435,0.43643,0.95907,0.00100687,0.00100687,0.00100687
22,2548.99,0.56564,0.4746,0.92861,0.99912,0.98374,0.98908,0.84079,0.55166,0.40259,0.91802,0.000973861,0.000973861,0.000973861
23,2662.4,0.57422,0.46385,0.94152,0.99921,0.98374,0.98525,0.83204,0.57835,0.3979,0.92876,0.000940855,0.000940855,0.000940855
24,2777.2,0.59332,0.46602,0.92755,0.99084,0.98374,0.98927,0.84619,0.57828,0.39872,0.93321,0.000907848,0.000907848,0.000907848
25,2889.71,0.54572,0.44518,0.9244,0.99171,0.97283,0.98731,0.83736,0.60146,0.39708,0.93372,0.000874842,0.000874842,0.000874842
26,3002.7,0.57777,0.44927,0.93659,0.99937,0.97561,0.98696,0.83502,0.60413,0.38816,0.93676,0.000841835,0.000841835,0.000841835
27,3114.96,0.56666,0.45004,0.9243,0.99909,0.98374,0.98749,0.82478,0.59544,0.39429,0.93268,0.000808828,0.000808828,0.000808828
28,3227.1,0.55057,0.41849,0.91842,0.99925,0.98374,0.99152,0.84656,0.59814,0.37488,0.93202,0.000775822,0.000775822,0.000775822
29,3348.84,0.5736,0.4214,0.94282,0.9992,0.98374,0.9857,0.84687,0.58207,0.36953,0.92692,0.000742815,0.000742815,0.000742815
30,3466.3,0.53592,0.4071,0.92639,0.99883,0.98374,0.98527,0.85036,0.56679,0.3801,0.92639,0.000709809,0.000709809,0.000709809
31,3579.2,0.5548,0.42359,0.93493,0.9984,0.98374,0.9865,0.84385,0.56918,0.35468,0.92697,0.000676802,0.000676802,0.000676802
32,3745.17,0.53533,0.39848,0.91953,0.99045,0.98374,0.98549,0.85827,0.54422,0.35014,0.91725,0.000643795,0.000643795,0.000643795
33,4003.33,0.52432,0.38192,0.90961,0.98919,0.98374,0.98624,0.85187,0.54278,0.33608,0.90416,0.000610789,0.000610789,0.000610789
34,4155.59,0.51758,0.38769,0.90971,0.99131,0.98374,0.99096,0.86822,0.53625,0.33809,0.90536,0.000577782,0.000577782,0.000577782
35,4267.97,0.50223,0.37042,0.89897,0.99946,0.98374,0.98598,0.86002,0.54077,0.33164,0.91305,0.000544776,0.000544776,0.000544776
36,4379.95,0.49919,0.38262,0.90624,0.99783,0.98374,0.98707,0.86122,0.55858,0.33402,0.92212,0.000511769,0.000511769,0.000511769
37,4492,0.49508,0.36314,0.89279,0.99914,0.98374,0.98755,0.85105,0.54496,0.32009,0.917,0.000478762,0.000478762,0.000478762
38,4605.01,0.4824,0.34938,0.91277,0.99116,0.98374,0.98832,0.86571,0.53901,0.31034,0.91757,0.000445756,0.000445756,0.000445756
39,4718.24,0.51082,0.3735,0.92536,0.99919,0.98374,0.99371,0.86979,0.52749,0.31676,0.90652,0.000412749,0.000412749,0.000412749
40,4830.79,0.496,0.37564,0.91408,0.99938,0.98374,0.99431,0.86286,0.53952,0.30371,0.90745,0.000379743,0.000379743,0.000379743
41,4942.54,0.41862,0.34108,0.85068,0.99944,0.98374,0.98557,0.85257,0.55338,0.33361,0.92268,0.000346736,0.000346736,0.000346736
42,5053.27,0.39835,0.30284,0.83051,0.99947,0.98374,0.98565,0.85568,0.54044,0.31583,0.92451,0.000313729,0.000313729,0.000313729
43,5164.06,0.40068,0.28962,0.84202,0.99862,0.98374,0.98678,0.85306,0.54236,0.31041,0.92589,0.000280723,0.000280723,0.000280723
44,5274.41,0.40329,0.28365,0.85301,0.99927,0.98374,0.9868,0.87265,0.52273,0.29391,0.91595,0.000247716,0.000247716,0.000247716
45,5385.6,0.4038,0.29289,0.85326,0.99943,0.98374,0.98706,0.87415,0.52928,0.289,0.92124,0.00021471,0.00021471,0.00021471
46,5496.65,0.38047,0.27639,0.85311,0.99956,0.98374,0.98757,0.88566,0.5165,0.288,0.91138,0.000181703,0.000181703,0.000181703
47,5608.06,0.38437,0.27066,0.83432,0.99971,0.98374,0.98777,0.87915,0.51307,0.28029,0.91356,0.000148696,0.000148696,0.000148696
48,5768.34,0.36767,0.26035,0.82885,0.99957,0.98374,0.98757,0.87962,0.51294,0.2836,0.91401,0.00011569,0.00011569,0.00011569
49,5955.32,0.3605,0.25467,0.83377,0.99953,0.98374,0.98781,0.88351,0.50449,0.27707,0.90959,8.26832e-05,8.26832e-05,8.26832e-05
50,6066.81,0.35462,0.2486,0.83471,0.99953,0.98374,0.98787,0.88445,0.50182,0.27169,0.90903,4.96766e-05,4.96766e-05,4.96766e-05
